"-- Please Select --","-- Vui lòng chọn --"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn hiệu thuộc tính"
"Begin data validation","Bắt đầu xác nhận dữ liệu"
"Cannot get autoincrement value","Không thể có được giá trị tự động gia tăng"
"Check Data","Kiểm tra dữ liệu"
"Customers","Khách hàng"
"Delete Entities","Xóa thực thể"
"Destination file is not writable","Tệp đích không thể ghi"
"Entity Type","Loại thực thể"
"Entity is unknown","Thực thể không rõ"
"Export","Xuất"
"Export File Format","Định dạng tập tin xuất khẩu"
"Export Settings","Xuất thiết lập"
"File is valid! To start import process press ""Import"" button","Tập tin là hợp lệ! Để bắt đầu quá trình nhập, ấn nút ""Import"""
"Filter","Bộ lọc"
"From","Từ"
"Import","Nhập"
"Import Behavior","Hành vi nhập"
"Import Settings","Nhập thiết lập"
"Import/Export","Nhập/Xuất"
"No valid data sent","Không có dữ liệu hợp lệ được gửi"
"Products","Các sản phẩm"
"Select File to Import","Chọn tệp để nhập"
"Status","Trạng thái"
"There are no product types available for export","Không có sẵn loại sản phẩm để xuất khẩu"
"To","Đến"
"Unknown attribute filter type","Loại bộ lọc thuộc tính không xác định"
