"10 minutes","10 phút"
"15 minutes","15 phút"
"20 minutes","20 phút"
"30 minutes","3 phút"
"5 minutes","5 phút"
"Daily","Hàng ngày"
"Failure History Lifetime","Lịch sử thất bại"
"Generate Schedules Every","Tạo lịch trình"
"History Cleanup Every","Lịch sử dọn dẹp"
"Hourly","Hàng giờ"
"Minute Intervals","Phút khoảng thời gian"
"Missed if Not Run Within","Bỏ qua nếu không chạy trong vòng"
"Monthly","Hàng tháng"
"Schedule Ahead for","Lên lịch trước cho"
"Success History Lifetime","Lịch sử thành công"
"Unable to delete the cron task.","Không thể xóa bỏ tác vụ định kỳ."
"Weekly","Hằng tuần"
