"Add New Rating","Thêm xếp hạng mới"
"Assigned Options","Được chỉ định tùy chọn"
"Be the first to review this product","Là người đầu tiên để xem xét sản phẩm này"
"Default Value","Giá trị mặc định"
"Delete Rating","Xóa xếp hạng"
"New Rating","Xếp hạng mới"
"Option Title","Tiêu đề tùy chọn"
"Option Title:","Tiêu đề tùy chọn:"
"Rating Information","Thông tin đánh giá"
"Rating Title","Tiêu đề xếp hạng"
"Rating Visibility","Hiển thị xếp hạng"
"Rating isn't Available","Đánh giá không có sẵn"
"Save Rating","Lưu xếp hạng"
"Sort Order","Thứ tự sắp xếp"
