"* Required Fields","* Bắt buộc"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Tùy chọn chia sẻ Tài khoản"
"Action","Thao tác"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng mới"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Additional Address Entries","Thêm lối vào địa chỉ"
"Address","Địa chỉ"
"Address Book","Sổ địa chỉ"
"Address Information","Thông tin địa chỉ"
"Address Templates","Mẫu Địa chỉ"
"Addresses","Địa chỉ"
"Admin","Quản trị"
"All","Tất Cả"
"All Store Views","Tất cả lượt xem cửa hàng"
"All countries","Tất cả quốc gia"
"Always optional.","Luôn tùy chọn."
"Amount","Số lượng"
"Approved","Chấp thuận"
"Are you sure you want to delete this address?","Bạn có chắc bạn muốn xóa địa chỉ này?"
"Are you sure?","Bạn chắc chứ?"
"Assign a Customer Group","Chỉ định một nhóm khách hàng"
"Average Sale","Doanh số trung bình"
"Back","Trở lại"
"Bad request.","Yêu cầu bị lỗi."
"By Email","Bằng Email"
"By IP","Bởi IP"
"By IP and Email","Bởi IP và Email"
"Cancel","Hủy bỏ"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Change Password","Đổi mật khẩu"
"Change Shipping Address","Thay đổi địa chỉ vận chuyển"
"City","Thành phố"
"Company","Công ty"
"Configure","Cấu hình"
"Confirm New Password","Xác nhận Mật khẩu Mới"
"Confirm Password","Xác nhận mật khẩu"
"Confirmation Link Email","Liên kết Xác nhận Email"
"Confirmed","Đã xác nhận"
"Contact Information","Thông tin liên hệ"
"Continue Shopping","Tiếp tục mua sắm"
"Country","Quốc gia"
"Create","Tạo"
"Create New Account Options","Tùy chọn Tạo mới tài khoản"
"Create Order","Tạo đơn hàng"
"Create an Account","Tạo tài khoản"
"Current Password","Mật khẩu hiện tại"
"Customer","Khách hàng"
"Customer Configuration","Cấu hình Khách hàng"
"Customer Group","Nhóm khách hàng"
"Customer Groups","Nhóm khách hàng"
"Customer Information","Thông tin khách hàng"
"Customer Since","Khách hàng kể từ"
"Customer View","Thông tin tài khoản"
"Customer will stay on the current page if ""No"" is selected.","Khách hàng sẽ ở lại trên trang hiện thời nếu ""Không"" được chọn."
"Customers","Khách hàng"
"Date","Ngày"
"Date Added","Ngày Được Thêm"
"Date of Birth","Ngày sinh"
"Day","Ngày"
"Default Addresses","Địa chỉ mặc định"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Group","Nhóm mặc định"
"Default Shipping Address","Địa chỉ giao hàng mặc định"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Giá trị mặc định cho thay đổi vô hiệu hoá tự động nhóm dựa trên ID thuế VAT"
"Default Welcome Email","Email chào mừng Mặc định"
"Delete","Xóa bỏ"
"Delete Customer","Xóa khách hàng"
"Delete Customer Group","Xoá nhóm khách hàng"
"Deleted Stores","Đã xoá các cửa hàng"
"Details","Chi tiết"
"Disabled","Vô hiệu hóa"
"Edit","Chỉnh sửa"
"Edit Account Information","Chỉnh sửa thông tin tài khoản"
"Edit Address","Sửa địa chỉ"
"Edit Customer Groups","Chỉnh sửa các nhóm khách hàng"
"Edit Group","Chỉnh sửa Nhóm"
"Email Address","Địa chỉ email"
"Email Sender","Người gửi Email"
"Enable Automatic Assignment to Customer Group","Cho phép Tự động gán cho nhóm khách hàng"
"Fax","Số Fax"
"First Name","Tên"
"Forgot Email Template","Quên mẫu Email"
"Forgot Password","Quên Mật khẩu"
"Forgot Your Password?","Bạn quên mật khẩu?"
"Gender","Giới tính"
"General Subscription","Đăng ký chung"
"Generate Human-Friendly Customer ID","Tạo ID khách hàng thân thiện"
"Global","Toàn cầu"
"Group","Nhóm"
"Group Information","Thông tin nhóm"
"Group Name","Tên nhóm"
"Group for Invalid VAT ID","Nhóm ID thuế VAT không hợp lệ"
"Group for Valid VAT ID - Domestic","Nhóm thuế VAT ID - trong nước hợp lệ"
"Group for Valid VAT ID - Intra-Union","Nhóm ID thuế VAT - nội công đoàn hợp lệ"
"Guest","Khách"
"IP Address","Địa chỉ IP"
"Invalid login or password.","Đăng nhập hoặc mật khẩu không hợp lệ."
"Last Activity","Lần hoạt động cuối"
"Last Date Subscribed","Đăng ký ngày cuối cùng"
"Last Date Unsubscribed","Bỏ đăng ký vào ngày cuối cùng"
"Last Name","Họ"
"Leave empty for default (15 minutes).","Để trống để mặc định (15 phút)."
"Lifetime Sales","Khoảng đời doanh số"
"Login","Đăng nhập"
"Login Options","Tùy chọn đăng nhập"
"Month","Tháng"
"My Account","Tài khoản của tôi"
"My Orders","Đơn đặt hàng của tôi"
"Name","Tên"
"Name and Address Options","Tên và địa chỉ các tùy chọn"
"Never","Không bao giờ"
"New Address","Địa chỉ mới"
"New Customer","Khách hàng mới"
"New Customer Group","Nhóm khách hàng mới"
"New Customer Groups","Nhóm khách hàng mới"
"New Customers","Khách hàng mới"
"New Group","Nhóm Mới"
"New Password","Mật khẩu mới"
"Newsletter","Bản tin"
"Newsletter Information","Đăng ký nhận thông tin"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletters","Bản tin"
"No Items Found","Không tìm thấy sản phẩm nào"
"No Newsletter Found","Bản tin không tìm thấy"
"No item specified.","Không xác nhận sản phẩm."
"Not Sent","Không gửi"
"Offline","Ngoại tuyến"
"Online","Trực tuyến"
"Online Customers","Khách hàng trực tuyến"
"Online Customers Options","Tùy chọn khách trực tuyến"
"Online Minutes Interval","Khoảng phút trực tuyến"
"Order #","Đơn hàng #"
"Order Total","Tổng đơn đặt hàng"
"Orders","Đơn hàng"
"Password","Mật khẩu"
"Password Options","Tùy chọn mật khẩu"
"Password forgotten","Quên mật khẩu"
"Password:","Mật khẩu:"
"Paused","Tạm dừng"
"Pending","Đợi duyệt"
"Per Website","Mỗi trang web"
"Personal Information","Thông tin cá nhân"
"Please enter a number 1 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 1 vào trường này."
"Please enter the city.","Vui lòng nhập thành phố."
"Please enter the country.","Vui lòng nhập quốc gia."
"Please enter the first name.","Vui lòng nhập tên."
"Please enter the last name.","Vui lòng nhập họ."
