"Actions","Thao tác"
"Active","Kích hoạt"
"Add New Rule","Thêm quy tắc mới"
"Apply","Áp dụng"
"Apply Rules","Áp dụng quy tắc"
"Attribute Set","Thiết lập thuộc tính"
"Catalog","Danh mục"
"Catalog Price Rule","Catalog Price Rules"
"Category","Nhóm"
"Conditions","Điều kiện"
"Conditions Combination","Kết hợp Điều kiện"
"Customer Groups","Nhóm khách hàng"
"Date From","Ngày bắt đầu"
"Date To","Ngày kết thúc"
"Description","Mô tả"
"Discount Amount","Lượng chiết khấu"
"Edit Rule","Sửa quy tắc"
"Expiration Date","Ngày hết hạn"
"General Information","Thông tin chung"
"Inactive","Không hoạt động"
"New Rule","Quy tắc mới"
"No","Không"
"Options","Tùy chọn"
"Priority","Độ ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
"Promotions","Khuyến mãi"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Start Date","Ngày bắt đầu"
"Status","Trạng thái"
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"Type","Loại"
"Website","Trang web"
"Websites","Các trang web"
"Yes","Có"
