"Action","Thao tác"
"Add Sitemap","Thêm sơ đồ trang web"
"Always","Luôn chọn"
"CMS Pages Options","CMS trang tùy chọn"
"Categories Options","Tùy chọn nhóm"
"Daily","Hàng ngày"
"Edit Sitemap","Chỉnh sửa sơ đồ trang web"
"Enabled","Cho phép"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi Email mẫu"
"Filename","Tên file"
"Frequency","Tần Suất"
"Generate","Tạo ra"
"Generation Settings","Cài đặt thế hệ"
"Hourly","Hàng giờ"
"Link for Google","Liên kết cho Google"
"Monthly","Hàng tháng"
"Never","Không bao giờ"
"New Sitemap","Sơ đồ trang web mới"
"Path","Đường dẫn"
"Priority","Độ ưu tiên"
"Products Options","Lựa chọn sản phẩm"
"Sitemap","Sơ đồ trang web"
"Sitemap generate Warnings","Cảnh báo tạo ra Sơ đồ trang web"
"Start Time","Thời Gian Bắt Đầu"
"Store View","Xem cửa hàng"
"The priority must be between 0 and 1.","Ưu tiên phải giữa 0 và 1."
"This sitemap no longer exists.","Sơ đồ trang web này không còn tồn tại."
"Weekly","Hằng tuần"
"Yearly","Hàng năm"
