"%s Item(s)","%s Mục"
"-- Please Select --","-- Vui lòng chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với thanh trái"
"2 columns with right bar","2 cột với thanh bên phải"
"3 columns","3 cột"
"About the calendar","Về lịch"
"Account","Tài khoản"
"All Pages","Tất cả các trang"
"Allow","Cho phép"
"Close","Đóng lại"
"Close Window","Đóng cửa sổ"
"Default welcome msg!","Chào mừng bạn đến tin nhắn mặc định!"
"Empty","Trống"
"Go Today","Đến ngày hôm nay"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu trong trình duyệt của bạn."
"Left Column","Cột bên trái"
"Next","Tiếp theo"
"Page:","Trang:"
"Previous","Trước"
"Report All Bugs","Báo cáo tất cả các lỗi"
"Right Column","Cột bên phải"
"Search","Tìm kiếm"
"Select Store","Chọn cửa hàng"
"Show","Hiển thị"
"View All","Xem tất cả"
"Your Language","Ngôn ngữ của bạn"
"Your Language:","Ngôn ngữ của bạn:"
"per page","mỗi trang"
