"Add","Thêm"
"Allow Gift Messages for Order Items","Cho phép tin nhắn quà tặng cho sản phẩm trong đơn hàng"
"Allow Gift Messages on Order Level","Cho phép tin nhắn Quà tặng trên cấp độ đơn hàng"
"Are you sure?","Bạn chắc chứ?"
"Cancel","Hủy bỏ"
"Do you have any gift items in your order?","Bạn có sản phẩm nào như Quà tặng nào trong đặt hàng của bạn không?"
"Edit","Chỉnh sửa"
"From","Từ"
"Gift Message","Tin nhắn quà tặng"
"Gift Options","Tùy chọn Quà tặng"
"Gift Options for Individual Items","Tùy chọn Quà tặng cho từng sản phẩm"
"Message","Tin nhắn"
"No","Không"
"OK","Đồng ý"
"Save Gift Message","Lưu tin nhắn Quà tặng"
"To","Đến"
"Unknown entity type","Kiểu thực thể không rõ"
"Use config","Sử dụng cấu hình"
"Yes","Có"
