"Add","Thêm"
"Add New Row","Thêm hàng mới"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Tên file được phép sử dụng các kí tự chữ số, dấu gạch ngang và gạch dưới. Các kí tự không hợp lệ sẽ được thay thế bằng '_'."
"Availability:","Tính sẵn có:"
"Back","Trở lại"
"Canceled","Đã hủy bỏ"
"Date","Ngày"
"Default Link Title","Mặc định liên kết tiêu đề"
"Default Maximum Number of Downloads","Số lượng tối đa mặc định tải về"
"Default Sample Title","Mặc định mẫu tiêu đề"
"Delete","Xóa bỏ"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vô hiệu thanh toán như khách nếu giỏ hàng chứa các sản phẩm có thể tải về"
"Downloadable Information","Thông tin có thể tải về"
"Downloadable Product Options","Lựa chọn sản phẩm có thể tải về"
"Edit","Chỉnh sửa"
"Edit item parameters","Sửa thông số sản phẩm"
"Excl. Tax","Chưa bao gồm thuế"
"File","Tệp"
"From:","Từ:"
"Gift Message","Tin nhắn quà tặng"
"Guest checkout will only work with shareable.","Thanh toán như khách sẽ chỉ hoạt động với có thể chia sẻ."
"In stock","Còn trong kho"
"Incl. Tax","Đã bao gồm thuế"
"Invalid download link type.","Kiểu liên kết tải xuống không hợp lệ."
"Invoiced","Đã lập hoá đơn"
"Links can be purchased separately","Liên kết có thể được mua riêng"
"List","Danh sách"
"Max. Downloads","Lớn nhất. Tải về"
"Message:","Tin nhắn:"
"Move","Di chuyển"
"My Downloadable Products","Sản phẩm có thể tải về của tôi"
"Open Links in New Window","Mở liên kết trong cửa sổ mới"
"Order #","Đơn hàng #"
"Order Item Status to Enable Downloads","Tình trạng mã đơn hàng để cho phép tải về"
"Order id cannot be null","Id đơn hàng không thể là vô giá trị"
"Order item id cannot be null","Id sản phẩm đặt hàng không thể là vô giá trị"
"Ordered","Đã đặt hàng"
"Out of stock","Tạm hết hàng"
"Pending","Đợi duyệt"
"Please set resource file and link type.","Xin vui lòng thiết lập tập tin tài nguyên và các loại liên kết."
"Please specify product link(s).","Xin vui lòng chỉ rõ liên kết sản phẩm."
"Price","Giá"
"Qty","Số lượng"
"Refunded","Đã hoàn trả"
"Remaining Downloads","Còn lại lượt tải"
"Remove","Loại bỏ"
"Remove Item","Xóa sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Sample","Mẫu"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"Shareable","Có thể chia sẻ"
"Shipped","Đã vận chuyển"
"Sorry, there was an error getting requested content. Please contact the store owner.","Xin lỗi, đã có một lỗi khi nhận nội dung được yêu cầu. Xin vui lòng liên hệ với người quản lý."
"Sort Order","Thứ tự sắp xếp"
"Start Download","Bắt đầu tải về"
"Status","Trạng thái"
"Subtotal","Tổng phụ"
"The link has expired.","Các liên kết đã hết hạn."
"The link is not available.","Liên kết không có sẵn."
"Title","Tiêu đề"
"To:","Đến:"
"Unlimited","Không giới hạn"
"Update","Cập nhật"
"Use Content-Disposition","Sử dụng nội dung - Bố trí"
"Use Default Value","Sử dụng giá trị mặc định"
"View Order","Xem đơn đặt hàng"
"What's this?","Đây là gì?"
"You have not purchased any downloadable products yet.","Bạn đã không mua bất kỳ sản phẩm miễn phí nào."
"attachment","Đính kèm"
"download","tải về"
"inline","nội tuyến"
"sample","mẫu"
