"Allow for Guests","Cho phép cho khách"
"Back","Trở lại"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email Templates","Mẫu email"
"Email to a Friend","Email cho bạn bè"
"Enabled","Cho phép"
"Invalid Sender Information","Thông tin người gửi không hợp lệ"
"Limit Sending By","Giới hạn gửi bởi"
"Max Products Sent in 1 Hour","Tối đa số sản phẩm gửi trong 1 giờ"
"Max Recipients","Người nhận tối đa"
"Message:","Tin nhắn:"
"Name","Tên"
"Select Email Template","Chọn mẫu Email"
"Send Email","Gửi Email"
"Some emails were not sent.","Một số email chưa được gửi."
"The link to a friend was sent.","Các liên kết đến một người bạn đã được gửi."
